년월,국고채 3년(평균),국고채 5년(평균),"회사채 3년(AA-, 평균)",CD 91물(평균),"콜금리(1일물,평균)",기준금리
201807월,2.10,2.34,2.75,1.65,1.49,1.50
201808월,2.02,2.24,2.66,1.65,1.50,1.50
201809월,1.95,2.13,2.40,1.65,1.54,1.50
201810월,2.01,2.16,2.45,1.68,1.52,1.50
201811월,1.94,2.05,2.40,1.71,1.51,1.75
201812월,1.83,1.89,2.30,1.91,1.77,1.75
201901월,1.81,1.88,2.26,1.87,1.75,1.75
201902월,1.80,1.87,2.25,1.87,1.76,1.75
201903월,1.79,1.84,2.24,1.90,1.76,1.75
201904월,1.74,1.77,2.21,1.89,1.75,1.75
201905월,1.68,1.72,2.15,1.84,1.75,1.75
201906월,1.50,1.53,2.00,1.80,1.76,1.75
201907월,1.38,1.42,1.89,1.68,1.63,1.50
201908월,1.16,1.20,1.69,1.49,1.51,1.50
201909월,1.29,1.35,1.79,1.54,1.52,1.50
201910월,1.36,1.44,1.86,1.46,1.35,1.25
201911월,1.49,1.59,2.00,1.52,1.28,1.25
201912월,1.39,1.48,1.95,1.53,1.28,1.25
202001월,1.37,1.48,1.96,1.47,1.27,1.25
202002월,1.25,1.36,1.85,1.42,1.24,1.25
202003월,1.09,1.27,1.84,1.23,0.98,0.75
202004월,1.02,1.26,2.15,1.10,0.74,0.75
202005월,0.88,1.13,2.18,1.02,0.70,0.50
202006월,0.85,1.13,2.22,0.79,0.48,0.50
202007월,0.83,1.09,2.22,0.79,0.48,0.50
202008월,0.83,1.09,2.19,0.68,0.50,0.50
202009월,0.91,1.19,2.24,0.63,0.48,0.50
202010월,0.91,1.20,2.24,0.63,0.51,0.50
202011월,0.97,1.30,2.25,0.66,0.49,0.50
202012월,0.97,1.32,2.21,0.66,0.51,0.50
202101월,0.98,1.32,2.14,0.68,0.49,0.50
202102월,1.00,1.35,2.06,0.73,0.49,0.50
202103월,1.13,1.55,2.09,0.75,0.49,0.50
202104월,1.14,1.58,1.98,0.74,0.48,0.50
202105월,1.13,1.65,1.89,0.68,0.48,0.50
202106월,1.30,1.70,1.91,0.66,0.51,0.50
202107월,1.42,1.69,1.89,0.69,0.53,0.50
202108월,1.41,1.65,1.84,0.77,0.56,0.75
202109월,1.52,1.79,1.95,0.98,0.77,0.75
202110월,1.84,2.15,2.30,1.08,0.74,0.75
202111월,1.95,2.17,2.49,1.17,0.80,1.00
202112월,1.80,1.98,2.41,1.27,1.01,1.00
202201월,2.06,2.28,2.63,1.39,1.19,1.25
202202월,2.29,2.50,2.87,1.50,1.22,1.25
202203월,2.37,2.60,3.03,1.50,1.24,1.25
202204월,2.94,3.14,3.63,1.64,1.30,1.50
202205월,3.02,3.23,3.78,1.77,1.51,1.75
202206월,3.48,3.65,4.23,1.99,1.75,1.75
202207월,3.24,3.30,4.13,2.41,1.97,2.25
202208월,3.25,3.30,4.23,2.79,2.26,2.50
202209월,3.90,3.94,4.90,3.01,2.53,2.50
202210월,4.24,4.29,5.44,3.69,2.96,3.00
202211월,3.90,3.95,5.49,3.99,3.10,3.25
202212월,3.63,3.59,5.30,4.02,3.24,3.25
202301월,3.46,3.42,4.70,3.80,3.27,3.50
202302월,3.47,3.47,4.27,3.52,3.43,3.50
202303월,3.46,3.45,4.18,3.61,3.43,3.50
202304월,3.26,3.25,4.07,3.50,3.47,3.50
202305월,3.33,3.32,4.14,3.64,3.57,3.50
202306월,3.55,3.55,4.36,3.75,3.57,3.50
202307월,3.64,3.64,4.44,3.75,3.51,3.50
